barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
AMPLIACION BENJAMIN MATIENZO,2024.0,512.0,54.0,10.55,4,4,0,0,8,3,40,0,0,7.613,0.0,1.98,0.0,0.0,3.95,0.0,1,0,0,1,0.2105,0.0,0.0,0.42,4819.0476,1219.0476,0.5012,5.0,0.6667,3.9531,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>AMPLIACION BENJAMIN MATIENZO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 2024.0<br>Score Infra: Media"
AMPLIACION CABO FARINA,500.0,200.0,12.0,6.0,0,0,0,0,3,1,17,0,1,6.217,0.0,0.0,0.0,0.0,6.0,20.0,0,0,0,1,0.1111,0.0,0.0,0.05,10000.0,4000.0,2.222,1.0,0.3333,2.5,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>AMPLIACION CABO FARINA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 500.0<br>Score Infra: Baja"
AMPLIACION EMPALME,3115.0,940.0,25.0,2.66,0,0,0,1,25,3,19,0,1,8.044,0.0,0.0,3.21,0.0,8.03,3.21,0,1,0,1,0.2559,0.0,0.0,0.35,8900.0,2685.7143,0.7311,1.0,0.6667,3.3138,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>AMPLIACION EMPALME</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 3115.0<br>Score Infra: Alta"
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,3.03,0,0,0,0,1,0,80,0,2,7.752,0.0,0.0,0.0,0.0,0.43,8.6,0,0,0,1,0.008,0.0,0.0,0.5,4650.0,1322.0,0.016,1.0,0.3333,3.5174,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>AMPLIACION GENERAL ARTIGAS</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 2325.0<br>Score Infra: Muy Baja"
AMPLIACION JARDIN ESPINOSA,519.0,200.0,0.0,0.0,0,0,0,0,10,4,128,0,0,6.254,0.0,0.0,0.0,0.0,19.27,0.0,0,0,0,1,0.3569,0.0,0.0,0.19,2731.5789,1052.6316,1.8784,1.0,0.3333,2.595,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Alta,"<b>AMPLIACION JARDIN ESPINOSA</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 519.0<br>Score Infra: Alta"
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,13.02,1,1,0,1,8,2,0,0,1,7.541,0.0,0.53,5.31,0.0,4.25,5.31,1,1,0,1,0.2927,0.0,0.0,0.22,8559.0909,1954.5455,1.3305,2.0,1.0,4.3791,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 2</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1883.0<br>Score Infra: Alta"
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668.0,200.0,22.0,11.0,0,0,0,0,9,3,0,0,1,6.506,0.0,0.0,0.0,0.0,13.47,14.97,0,0,0,1,0.2494,0.0,0.0,0.17,3929.4118,1176.4706,1.4671,1.0,0.3333,3.34,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 3</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 668.0<br>Score Infra: Alta"
AMPLIACION KENNEDY,500.0,200.0,7.0,3.5,0,0,0,0,12,3,20,0,0,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,0.0,0.0,0.06,8333.3333,3333.3333,7.4067,1.0,0.3333,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>AMPLIACION KENNEDY</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
AMPLIACION LAS PALMAS,1750.0,513.0,12.0,2.34,2,2,0,0,19,8,182,0,1,7.468,0.0,1.14,0.0,0.0,10.86,5.71,1,0,0,1,0.2802,0.0,0.0,0.23,7608.6957,2230.4348,1.2183,3.0,0.6667,3.4113,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>AMPLIACION LAS PALMAS</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1750.0<br>Score Infra: Alta"
AMPLIACION LOS ALAMOS,795.0,200.0,4.0,2.0,0,0,0,0,6,6,0,0,0,6.68,0.0,0.0,0.0,0.0,7.55,0.0,0,0,0,1,0.1398,0.0,0.0,0.09,8833.3333,2222.2222,1.5533,1.0,0.3333,3.975,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>AMPLIACION LOS ALAMOS</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 795.0<br>Score Infra: Baja"
