barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,tamano_promedio_hogar,educacion_ratio_publico_privado,ranking_infraestructura,percentil_infraestructura
ALTO ALBERDI,30472.0,10101.0,389.0,3.85,40,15,25,1,48,14,369,2,2,10.325,0.625,1.31,0.33,0.66,1.58,0.66,1,1,1,1,0.1782,-31.4077929131874,-64.219940676278,3.02,0.6,244,50.8
ALTO DE DON BOSCO,675.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-31.3869535266229,-64.2657645536358,3.18,0.0,469,2.7
ALTO DE SANTA ANA,1508.0,424.0,20.0,4.72,0,0,0,0,6,2,63,0,0,7.319,0.0,0.0,0.0,0.0,3.98,0.0,0,0,0,1,0.0737,-31.4064423364043,-64.2489468672371,3.56,0.0,412,16.8
ALTO HERMOSO,500.0,200.0,0.0,0.0,0,0,0,0,8,3,0,0,0,6.217,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963,-31.3302939640896,-64.3052937554776,2.5,0.0,132,73.1
ALTO PALERMO,923.0,311.0,0.0,0.0,1,1,0,0,25,13,158,0,0,6.829,0.0,1.08,0.0,0.0,24.0,0.0,1,0,0,1,0.5194,-31.3756925958522,-64.2247362943992,2.97,1.0,42,91.7
ALTO VERDE,3956.0,1287.0,3.0,0.23,6,2,4,0,7,2,592,0,0,8.283,0.667,1.52,0.0,0.0,1.77,0.0,1,0,0,1,0.1383,-31.3735358226288,-64.2141325964614,3.07,0.5,307,38.1
ALTOS DE VELEZ SARSFIELD,1678.0,544.0,7.0,1.29,1,1,0,0,10,4,170,0,1,7.426,0.0,0.6,0.0,0.0,5.96,5.96,1,0,0,1,0.152,-31.4483323168207,-64.2140975038702,3.08,1.0,282,43.1
ALTOS DE VILLA CABRERA,1164.0,400.0,5.0,1.25,1,1,0,0,18,13,173,0,0,7.06,0.0,0.86,0.0,0.0,15.46,0.0,1,0,0,1,0.346,-31.3812472018439,-64.2196230940151,2.91,1.0,104,79.1
ALTOS SAN MARTIN,1279.0,440.0,3.0,0.68,0,0,0,0,7,2,177,0,0,7.155,0.0,0.0,0.0,0.0,5.47,0.0,0,0,0,1,0.1013,-31.3772325958898,-64.2143578517347,2.91,0.0,376,24.1
ALTOS SUD DE SAN VICENTE,1023.0,275.0,21.0,7.64,0,0,0,0,4,2,7,0,0,6.931,0.0,0.0,0.0,0.0,3.91,0.0,0,0,0,1,0.0724,-31.4371311914398,-64.1408888444944,3.72,0.0,415,16.2
AMEGHINO NORTE,3781.0,1008.0,124.0,12.3,1,1,0,1,17,7,79,0,1,8.238,0.0,0.26,2.64,0.0,4.5,2.64,1,1,0,1,0.1895,-31.4291728661583,-64.2372008417107,3.75,1.0,234,52.8
AMEGHINO SUD,3449.0,1093.0,18.0,1.65,4,4,0,0,22,8,343,0,1,8.146,0.0,1.16,0.0,0.0,6.38,2.9,1,0,0,1,0.1986,-31.4344344120781,-64.2375798932284,3.16,4.0,222,55.3
AMPLIACION ALTAMIRA,1897.0,504.0,37.0,7.34,0,0,0,1,16,2,9,0,2,7.549,0.0,0.0,5.27,0.0,8.43,10.54,0,1,0,1,0.332,-31.418800365534,-64.130149050924,3.76,0.0,112,77.5
AMPLIACION BENJAMIN MATIENZO,2024.0,512.0,54.0,10.55,4,4,0,0,8,3,40,0,0,7.613,0.0,1.98,0.0,0.0,3.95,0.0,1,0,0,1,0.2105,-31.44629840021855,-64.2349158491345,3.95,4.0,212,57.3
AMPLIACION CABO FARINA,500.0,200.0,12.0,6.0,0,0,0,0,3,1,17,0,1,6.217,0.0,0.0,0.0,0.0,6.0,20.0,0,0,0,1,0.1111,-31.4615420959235,-64.2148780007921,2.5,0.0,347,29.1
AMPLIACION EMPALME,3115.0,940.0,25.0,2.66,0,0,0,1,25,3,19,0,1,8.044,0.0,0.0,3.21,0.0,8.03,3.21,0,1,0,1,0.2559,-31.4317354197924,-64.1252161280049,3.31,0.0,160,67.8
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,3.03,0,0,0,0,1,0,80,0,2,7.752,0.0,0.0,0.0,0.0,0.43,8.6,0,0,0,1,0.008,-31.4632233206896,-64.1958875212659,3.52,0.0,467,5.7
AMPLIACION JARDIN ESPINOSA,519.0,200.0,0.0,0.0,0,0,0,0,10,4,128,0,0,6.254,0.0,0.0,0.0,0.0,19.27,0.0,0,0,0,1,0.3569,-31.4554158322251,-64.1732980577387,2.6,0.0,101,79.8
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,13.02,1,1,0,1,8,2,0,0,1,7.541,0.0,0.53,5.31,0.0,4.25,5.31,1,1,0,1,0.2927,-31.4509219153054,-64.1466007273166,4.38,1.0,140,71.9
