barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
PARQUE DE LA VIDA,-0.487,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.9336,-0.578,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-0.7341,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-1.0303,-31.4442273592752,-64.2261000948677,-0.4005,-1.3516,-1.1573,-0.5199,-0.6046,-0.9109,-1.3426,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>PARQUE DE LA VIDA</b><hr>Pob: 500.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
PARQUE DEL ESTE,-0.4514,-0.3966,-0.2218,1.2095,-0.1551,0.0351,-0.3168,-0.4858,-0.1939,-0.578,-0.1937,-0.2838,0.3244,-0.9202,-0.4469,1.4447,-0.4167,-0.2758,0.9918,1.1801,0.8528,-0.4943,-0.2968,0.2968,1.1877,-31.4051586405003,-64.1455089911964,0.0847,-1.1835,-1.0215,-0.3214,0.5233,0.4055,0.2155,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>PARQUE DEL ESTE</b><hr>Pob: 679.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
PARQUE DON BOSCO,0.348,0.2552,-0.2218,-0.6112,-0.3525,-0.3118,-0.3168,1.9142,0.6382,-0.3864,0.9588,-0.2838,0.3244,1.0733,-0.4469,-0.6041,0.7498,-0.2758,-0.4518,-0.3834,0.8528,2.0231,-0.2968,0.2968,-0.3871,-31.3884319827078,-64.272025814382,0.0059,0.0351,-0.0345,-0.4374,-0.0407,1.6832,0.1982,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PARQUE DON BOSCO</b><hr>Pob: 4691.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
PARQUE FUTURA,-0.0186,-0.12,0.1135,0.7964,0.4372,0.0351,0.7551,-0.4858,-0.3788,-0.578,-0.2482,-0.2838,0.3244,0.5595,1.7934,0.5474,-0.4167,-0.2758,-0.6635,-0.2122,0.8528,-0.4943,-0.2968,0.2968,-0.3323,-31.488906450635,-64.2529899700877,0.2848,-0.8519,-0.8194,-0.4677,-0.7456,0.4055,1.3581,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PARQUE FUTURA</b><hr>Pob: 2851.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
PARQUE JORGE NEWBERY,-0.0071,-0.0044,-0.2828,-0.6077,-0.1551,0.0351,-0.3168,-0.4858,1.7478,-0.0031,0.3765,-0.2838,1.6826,0.5801,-0.4469,-0.2452,-0.4167,-0.2758,0.5408,0.206,0.8528,-0.4943,-0.2968,0.2968,0.0532,-31.350399915226,-64.180513219248,-0.1154,-0.1258,-0.1022,-0.3408,0.5233,0.4055,-0.1481,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Alta,<b>PARQUE JORGE NEWBERY</b><hr>Pob: 2909.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Alta
PARQUE LATINO,-0.3264,-0.269,-0.3743,-0.7531,0.4372,0.382,0.3978,-0.4858,0.0835,0.5718,0.1763,-0.2838,0.3244,-0.2464,1.0466,2.1027,-0.4167,-0.2758,0.369,0.3028,0.8528,-0.4943,-0.2968,0.2968,1.112,-31.4596532315616,-64.2124548233494,-0.2064,-0.5433,-0.424,-0.0397,-0.4185,0.4055,-0.4424,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>PARQUE LATINO</b><hr>Pob: 1306.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
PARQUE LICEO SECCION 1,0.1491,0.1028,0.0373,0.0093,-0.5499,-0.6587,-0.3168,-0.4858,-0.8411,-0.578,-0.5455,-0.2838,0.3244,0.8257,-0.4469,-0.7611,-0.4167,-0.2758,-0.9581,-0.3114,-1.1726,-0.4943,-0.2968,0.2968,-1.1752,-31.3497061993402,-64.1625303442315,1.146,-1.0648,-0.9212,-0.5185,-0.6046,-0.9109,0.0943,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Baja,<b>PARQUE LICEO SECCION 1</b><hr>Pob: 3693.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Baja
PARQUE LICEO SECCION 2,0.9725,0.6006,0.7919,0.4649,-0.1551,0.0351,-0.3168,1.9142,0.2684,-0.3864,-0.5455,-0.2838,0.3244,1.6006,-0.4469,-0.5667,0.2843,-0.2758,-0.7663,-0.4889,0.8528,2.0231,-0.2968,0.2968,-0.7248,-31.3556278869882,-64.1620118927709,0.1817,0.263,-0.0183,-0.4853,0.5233,1.6832,1.0638,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>PARQUE LICEO SECCION 2</b><hr>Pob: 7826.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
PARQUE LICEO SECCION 3,0.5277,0.2777,0.8453,1.1209,2.0165,2.4634,1.1124,1.9142,1.2855,-0.0031,2.0688,-0.2838,0.3244,1.2539,0.7031,0.9736,0.5636,-0.2758,-0.3552,-0.4256,0.8528,2.0231,-0.2968,0.2968,0.4006,-31.3552182265341,-64.1513432642662,0.1211,-0.0636,-0.2566,-0.3954,-0.0407,1.6832,1.1157,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Alta,<b>PARQUE LICEO SECCION 3</b><hr>Pob: 5593.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Alta
PARQUE LOS MOLINOS,-0.4145,-0.3614,-0.359,-0.5155,-0.5499,-0.6587,-0.3168,-0.4858,0.3609,0.5718,-0.3089,-0.2838,-1.0337,-0.6716,-0.4469,-0.7611,-0.4167,-0.2758,1.6224,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,0.4972,-31.4561025121088,-64.2008967897547,-0.3034,-0.2821,-0.2611,0.1884,-0.6046,-0.9109,-0.0096,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Alta,<b>PARQUE LOS MOLINOS</b><hr>Pob: 864.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Alta
PARQUE MODELO,-0.487,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.3788,-0.1947,-0.5455,-0.2838,0.3244,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,1.1069,1.8341,-1.1726,-0.4943,-0.2968,0.2968,0.1633,-31.3647142739498,-64.2510241394099,-0.3338,-0.4514,-0.1697,0.3111,-0.6046,-0.9109,-1.3426,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Alta,<b>PARQUE MODELO</b><hr>Pob: 500.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Alta
PARQUE MONTECRISTO,-0.277,-0.2503,-0.359,-0.6892,0.0424,0.382,-0.3168,-0.4858,-0.3788,-0.3864,-0.3878,-0.2838,1.6826,-0.0669,-0.4469,0.682,-0.4167,-0.2758,-0.3506,0.9493,0.8528,-0.4943,-0.2968,0.2968,-0.0622,-31.3886256093823,-64.1399659927481,-0.2852,0.2683,0.1749,-0.1166,1.0872,0.4055,0.0943,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Media,<b>PARQUE MONTECRISTO</b><hr>Pob: 1554.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Media
PARQUE REPUBLICA,0.8901,0.517,1.1273,0.9968,0.832,1.7696,-0.3168,1.9142,0.3609,-0.3864,-0.1876,2.8315,0.3244,1.5449,-0.4469,-0.0583,0.3226,3.4073,-0.731,-0.4802,0.8528,2.0231,3.369,0.2968,0.0806,-31.4161294813208,-64.258582064065,0.1939,0.1463,-0.1258,-0.4321,3.3431,1.6832,1.2196,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Alta,<b>PARQUE REPUBLICA</b><hr>Pob: 7412.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Alta
PARQUE SAN CARLOS,-0.4374,-0.3796,-0.3895,-0.7637,-0.3525,-0.3118,-0.3168,-0.4858,-0.2864,-0.3864,-0.5273,-0.2838,-1.0337,-0.8191,-0.4469,0.2408,-0.4167,-0.2758,0.5975,-0.6477,0.8528,-0.4943,-0.2968,0.2968,0.3324,-31.4494274723584,-64.1599280417188,-0.3398,0.1318,0.0974,0.5054,-0.0407,0.4055,-0.0615,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Alta,<b>PARQUE SAN CARLOS</b><hr>Pob: 749.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Alta
PARQUE SAN VICENTE,-0.3223,-0.2586,-0.3819,-0.7992,-0.5499,-0.6587,-0.3168,-0.4858,0.7307,0.5718,0.3462,-0.2838,-1.0337,-0.2299,-0.4469,-0.7611,-0.4167,-0.2758,1.156,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,0.1949,-31.4249959692642,-64.1373491487954,-0.2913,0.1085,0.2036,-0.0006,-0.6046,-0.9109,-0.5809,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Alta,<b>PARQUE SAN VICENTE</b><hr>Pob: 1327.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Alta
PARQUE SARMIENTO,-0.487,-0.3966,-0.4048,-0.9179,0.0424,0.382,-0.3168,-0.4858,-0.3788,1.53,4.9803,-0.2838,-1.0337,-1.235,-0.4469,2.8306,-0.4167,-0.2758,1.1069,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.9528,-31.4328801293591,-64.1789078506441,-0.4005,-1.3516,-1.1573,-0.5199,1.0872,0.4055,-1.3426,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Muy Alta,<b>PARQUE SARMIENTO</b><hr>Pob: 500.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Muy Alta
PARQUE TABLADA,-0.3912,-0.329,-0.3972,-0.863,-0.5499,-0.6587,-0.3168,-0.4858,0.4533,-0.0031,-0.3635,-0.2838,0.3244,-0.5405,-0.4469,-0.7611,-0.4167,-0.2758,1.4613,0.6167,-1.1726,-0.4943,-0.2968,0.2968,0.3925,-31.3871781770563,-64.2312408178758,-0.2549,-0.5421,-0.4263,-0.0764,-0.6046,-0.9109,-0.4077,-1.8154,Cluster 1: Urbano Consolidado (Alta Infraestructura),Alta,<b>PARQUE TABLADA</b><hr>Pob: 981.0<br>Cluster: Cluster 1: Urbano Consolidado (Alta Infraestructura)<br>Infr: Alta
PARQUE VELEZ SARSFIELD,0.02,0.0456,-0.3438,-0.7761,-0.3525,-0.3118,-0.3168,-0.4858,0.1759,-0.1947,5.6172,-0.2838,0.3244,0.6276,-0.4469,-0.5144,-0.4167,-0.2758,-0.3859,-0.2407,0.8528,-0.4943,-0.2968,0.2968,-0.6813,-31.4411595485323,-64.2040025565823,-0.0063,-0.4238,-0.3183,-0.4645,-0.0407,0.4055,-0.425,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Baja,<b>PARQUE VELEZ SARSFIELD</b><hr>Pob: 3045.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Baja
PASO DE LOS ANDES,-0.0828,-0.0105,-0.2142,-0.4269,0.6346,0.382,0.7551,-0.4858,0.0835,2.6798,0.8981,2.8315,-1.0337,0.4356,1.42,1.011,-0.4167,3.9761,-0.3138,-0.6477,0.8528,-0.4943,3.369,0.2968,0.7222,-31.4159538702898,-64.203280297451,-0.17,-0.0335,0.132,-0.1828,-0.6046,0.4055,-0.8232,0.5508,Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa,Muy Alta,<b>PASO DE LOS ANDES</b><hr>Pob: 2529.0<br>Cluster: Cluster 2: Vulnerabilidad Alta / Infraestructura Escasa<br>Infr: Muy Alta
