barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,13.02,1,1,0,1,8,2,0,0,1,0.228,7.541,0.0,0.53,5.31,0.0,4.25,5.31,1,1,0,1,0.2927,-31.4509219153054,-64.1466007273166,0.22,8559.09,1.33,1,4,Periferia Vulnerable,Alta,<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 2</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 1883.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668.0,200.0,22.0,11.0,0,0,0,0,9,3,0,0,1,0.299,6.506,0.0,0.0,0.0,0.0,13.47,14.97,0,0,0,1,0.2494,-31.4507822343279,-64.1432181375558,0.17,3929.41,1.467,1,0,Anillo Denso Residencial,Alta,<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 3</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 668.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION KENNEDY,500.0,200.0,7.0,3.5,0,0,0,0,12,3,20,0,0,0.4,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,-31.4562968531853,-64.1943881636183,0.06,8333.33,7.407,1,1,Núcleo Urbano Consolidado,Muy Alta,<b>AMPLIACION KENNEDY</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
AMPLIACION LAS PALMAS,1750.0,513.0,12.0,2.34,2,2,0,0,19,8,182,0,1,0.293,7.468,0.0,1.14,0.0,0.0,10.86,5.71,1,0,0,1,0.2802,-31.4010828106417,-64.2428597732512,0.23,7608.7,1.218,1,2,Suburbio Popular Consolidado,Alta,<b>AMPLIACION LAS PALMAS</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 1750.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION LOS ALAMOS,795.0,200.0,4.0,2.0,0,0,0,0,6,6,0,0,0,0.252,6.68,0.0,0.0,0.0,0.0,7.55,0.0,0,0,0,1,0.1398,-31.3644166507386,-64.1542919428214,0.09,8833.33,1.553,1,0,Anillo Denso Residencial,Baja,<b>AMPLIACION LOS ALAMOS</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 795.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
AMPLIACION LOS PLATANOS,1060.0,281.0,10.0,3.56,0,0,0,0,5,2,18,0,1,0.265,6.967,0.0,0.0,0.0,0.0,4.72,9.43,0,0,0,1,0.0874,-31.4186010236435,-64.2341405576036,0.09,11777.78,0.971,1,0,Anillo Denso Residencial,Baja,<b>AMPLIACION LOS PLATANOS</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1060.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
AMPLIACION PALMAR,1356.0,380.0,6.0,1.58,2,2,0,0,11,2,7,0,1,0.28,7.213,0.0,1.47,0.0,0.0,8.11,7.37,1,0,0,1,0.2522,-31.3875352636237,-64.1202527784613,0.16,8475.0,1.576,1,0,Anillo Denso Residencial,Alta,<b>AMPLIACION PALMAR</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1356.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
AMPLIACION PANAMERICANO,1545.0,528.0,10.0,1.89,0,0,0,0,4,3,54,0,1,0.342,7.343,0.0,0.0,0.0,0.0,2.59,6.47,0,0,0,1,0.048,-31.365476066006,-64.1799886672889,0.56,2758.93,0.086,1,0,Anillo Denso Residencial,Muy Baja,<b>AMPLIACION PANAMERICANO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1545.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
AMPLIACION PARQUE SAN CARLOS,1070.0,311.0,4.0,1.29,0,0,0,0,4,2,0,0,0,0.291,6.976,0.0,0.0,0.0,0.0,3.74,0.0,0,0,0,1,0.0693,-31.4499585215276,-64.1563841653437,0.11,9727.27,0.63,1,0,Anillo Denso Residencial,Muy Baja,<b>AMPLIACION PARQUE SAN CARLOS</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1070.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
AMPLIACION POETA LUGONES,2830.0,839.0,2.0,0.24,1,1,0,0,9,2,147,0,1,0.296,7.948,0.0,0.35,0.0,0.0,3.18,3.53,1,0,0,1,0.0832,-31.3597595516254,-64.2227669849132,0.49,5775.51,0.17,1,2,Suburbio Popular Consolidado,Muy Baja,<b>AMPLIACION POETA LUGONES</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 2830.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
