barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,centroide_lat,centroide_lon,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_barrio,servicios_basicos_score,infraestructura_por_habitante,ranking_infraestructura,percentil_infraestructura
AMPLIACION CABO FARINA,500.0,200.0,12.0,6.0,0,0,0,0,3,1,17,0,1,0.4,6.217,0.0,0.0,0.0,0.0,6.0,20.0,0,0,0,1,0.1111,0.05,10000.0,4000.0,2.222,1.0,-31.4615420959235,-64.2148780007921,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION CABO FARINA</b><br>Pob: 500.0<br>Score: 0.11 (Baja),0.33,2.222,347,29.1
AMPLIACION EMPALME,3115.0,940.0,25.0,2.66,0,0,0,1,25,3,19,0,1,0.302,8.044,0.0,0.0,3.21,0.0,8.03,3.21,0,1,0,1,0.2559,0.35,8900.0,2685.71,0.731,1.0,-31.4317354197924,-64.1252161280049,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>AMPLIACION EMPALME</b><br>Pob: 3115.0<br>Score: 0.26 (Alta),0.67,0.8215,160,67.8
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,3.03,0,0,0,0,1,0,80,0,2,0.284,7.752,0.0,0.0,0.0,0.0,0.43,8.6,0,0,0,1,0.008,0.5,4650.0,1322.0,0.016,1.0,-31.4632233206896,-64.1958875212659,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>AMPLIACION GENERAL ARTIGAS</b><br>Pob: 2325.0<br>Score: 0.01 (Muy Baja),0.33,0.0344,467,5.7
AMPLIACION JARDIN ESPINOSA,519.0,200.0,0.0,0.0,0,0,0,0,10,4,128,0,0,0.385,6.254,0.0,0.0,0.0,0.0,19.27,0.0,0,0,0,1,0.3569,0.19,2731.58,1052.63,1.878,1.0,-31.4554158322251,-64.1732980577387,3,Tipo D (Infr 0.40 - NBI 2.8%),Alta,<b>AMPLIACION JARDIN ESPINOSA</b><br>Pob: 519.0<br>Score: 0.36 (Alta),0.33,6.8767,101,79.8
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,13.02,1,1,0,1,8,2,0,0,1,0.228,7.541,0.0,0.53,5.31,0.0,4.25,5.31,1,1,0,1,0.2927,0.22,8559.09,1954.55,1.33,2.0,-31.4509219153054,-64.1466007273166,2,Tipo C (Infr 0.16 - NBI 14.4%),Alta,<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 2</b><br>Pob: 1883.0<br>Score: 0.29 (Alta),1.0,1.5544,140,71.9
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668.0,200.0,22.0,11.0,0,0,0,0,9,3,0,0,1,0.299,6.506,0.0,0.0,0.0,0.0,13.47,14.97,0,0,0,1,0.2494,0.17,3929.41,1176.47,1.467,1.0,-31.4507822343279,-64.1432181375558,3,Tipo D (Infr 0.40 - NBI 2.8%),Alta,<b>AMPLIACION JOSE IGNACIO DIAZ SECCION 3</b><br>Pob: 668.0<br>Score: 0.25 (Alta),0.33,3.7335,167,66.4
AMPLIACION KENNEDY,500.0,200.0,7.0,3.5,0,0,0,0,12,3,20,0,0,0.4,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,0.06,8333.33,3333.33,7.407,1.0,-31.4562968531853,-64.1943881636183,3,Tipo D (Infr 0.40 - NBI 2.8%),Muy Alta,<b>AMPLIACION KENNEDY</b><br>Pob: 500.0<br>Score: 0.44 (Muy Alta),0.33,8.888,59,87.4
AMPLIACION LAS PALMAS,1750.0,513.0,12.0,2.34,2,2,0,0,19,8,182,0,1,0.293,7.468,0.0,1.14,0.0,0.0,10.86,5.71,1,0,0,1,0.2802,0.23,7608.7,2230.43,1.218,3.0,-31.4010828106417,-64.2428597732512,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>AMPLIACION LAS PALMAS</b><br>Pob: 1750.0<br>Score: 0.28 (Alta),0.67,1.6011,147,70.4
AMPLIACION LOS ALAMOS,795.0,200.0,4.0,2.0,0,0,0,0,6,6,0,0,0,0.252,6.68,0.0,0.0,0.0,0.0,7.55,0.0,0,0,0,1,0.1398,0.09,8833.33,2222.22,1.553,1.0,-31.3644166507386,-64.1542919428214,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION LOS ALAMOS</b><br>Pob: 795.0<br>Score: 0.14 (Baja),0.33,1.7585,305,38.5
AMPLIACION LOS PLATANOS,1060.0,281.0,10.0,3.56,0,0,0,0,5,2,18,0,1,0.265,6.967,0.0,0.0,0.0,0.0,4.72,9.43,0,0,0,1,0.0874,0.09,11777.78,3122.22,0.971,1.0,-31.4186010236435,-64.2341405576036,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION LOS PLATANOS</b><br>Pob: 1060.0<br>Score: 0.09 (Baja),0.33,0.8245,386,22.0
AMPLIACION PALMAR,1356.0,380.0,6.0,1.58,2,2,0,0,11,2,7,0,1,0.28,7.213,0.0,1.47,0.0,0.0,8.11,7.37,1,0,0,1,0.2522,0.16,8475.0,2375.0,1.576,3.0,-31.3875352636237,-64.1202527784613,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>AMPLIACION PALMAR</b><br>Pob: 1356.0<br>Score: 0.25 (Alta),0.67,1.8599,162,67.4
AMPLIACION PANAMERICANO,1545.0,528.0,10.0,1.89,0,0,0,0,4,3,54,0,1,0.342,7.343,0.0,0.0,0.0,0.0,2.59,6.47,0,0,0,1,0.048,0.56,2758.93,942.86,0.086,1.0,-31.365476066006,-64.1799886672889,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>AMPLIACION PANAMERICANO</b><br>Pob: 1545.0<br>Score: 0.05 (Muy Baja),0.33,0.3107,437,11.7
AMPLIACION PARQUE SAN CARLOS,1070.0,311.0,4.0,1.29,0,0,0,0,4,2,0,0,0,0.291,6.976,0.0,0.0,0.0,0.0,3.74,0.0,0,0,0,1,0.0693,0.11,9727.27,2827.27,0.63,1.0,-31.4499585215276,-64.1563841653437,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>AMPLIACION PARQUE SAN CARLOS</b><br>Pob: 1070.0<br>Score: 0.07 (Muy Baja),0.33,0.6477,422,14.8
AMPLIACION POETA LUGONES,2830.0,839.0,2.0,0.24,1,1,0,0,9,2,147,0,1,0.296,7.948,0.0,0.35,0.0,0.0,3.18,3.53,1,0,0,1,0.0832,0.49,5775.51,1712.24,0.17,2.0,-31.3597595516254,-64.2227669849132,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION POETA LUGONES</b><br>Pob: 2830.0<br>Score: 0.08 (Baja),0.67,0.294,395,20.2
AMPLIACION PRIMERO DE MAYO,1690.0,389.0,40.0,10.28,3,0,3,0,6,3,0,0,1,0.23,7.433,1.0,1.78,0.0,0.0,3.55,5.92,1,0,0,1,0.1893,0.13,13000.0,2992.31,1.456,0.25,-31.4437153991218,-64.1123370937661,2,Tipo C (Infr 0.16 - NBI 14.4%),Media,<b>AMPLIACION PRIMERO DE MAYO</b><br>Pob: 1690.0<br>Score: 0.19 (Media),0.67,1.1201,235,52.6
AMPLIACION PUEYRREDON,1809.0,553.0,14.0,2.53,5,4,1,0,14,5,18,0,1,0.306,7.501,0.2,2.76,0.0,0.0,7.74,5.53,1,0,0,1,0.3349,0.23,7865.22,2404.35,1.456,2.5,-31.393666954668,-64.1450821797477,0,Tipo A (Infr 0.57 - NBI 4.5%),Alta,<b>AMPLIACION PUEYRREDON</b><br>Pob: 1809.0<br>Score: 0.33 (Alta),0.67,1.8513,107,78.5
AMPLIACION RESIDENCIAL AMERICA,5488.0,1603.0,53.0,3.31,7,4,3,0,9,1,133,0,2,0.292,8.611,0.429,1.28,0.0,0.0,1.64,3.64,1,0,0,1,0.1192,0.59,9301.69,2716.95,0.202,1.25,-31.376008249888,-64.1612331264453,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION RESIDENCIAL AMERICA</b><br>Pob: 5488.0<br>Score: 0.12 (Baja),0.67,0.2172,329,33.6
AMPLIACION ROSEDAL,3123.0,814.0,40.0,4.91,0,0,0,1,8,3,276,0,1,0.261,8.047,0.0,0.0,3.2,0.0,2.56,3.2,0,1,0,1,0.1542,0.32,9759.38,2543.75,0.482,1.0,-31.4399633501796,-64.2242393178094,1,Tipo B (Infr 0.14 - NBI 3.0%),Media,<b>AMPLIACION ROSEDAL</b><br>Pob: 3123.0<br>Score: 0.15 (Media),0.67,0.4938,280,43.5
AMPLIACION SAN FERNANDO,3375.0,1000.0,48.0,4.8,0,0,0,0,5,1,80,0,0,0.296,8.124,0.0,0.0,0.0,0.0,1.48,0.0,0,0,0,1,0.0274,0.36,9375.0,2777.78,0.076,1.0,-31.4534767190212,-64.1916184339401,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>AMPLIACION SAN FERNANDO</b><br>Pob: 3375.0<br>Score: 0.03 (Muy Baja),0.33,0.0812,457,7.7
AMPLIACION SAN PABLO,2247.0,735.0,2.0,0.27,4,4,0,0,5,2,66,0,1,0.327,7.718,0.0,1.78,0.0,0.0,2.23,4.45,1,0,0,1,0.1648,0.18,12483.33,4083.33,0.916,5.0,-31.4520403999847,-64.1597214554589,1,Tipo B (Infr 0.14 - NBI 3.0%),Media,<b>AMPLIACION SAN PABLO</b><br>Pob: 2247.0<br>Score: 0.16 (Media),0.67,0.7334,266,46.4
AMPLIACION URCA,2059.0,630.0,3.0,0.48,0,0,0,0,0,0,0,0,0,0.306,7.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5,4118.0,1260.0,0.0,1.0,-31.3861014776024,-64.2397057643087,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>AMPLIACION URCA</b><br>Pob: 2059.0<br>Score: 0.00 (Muy Baja),0.0,0.0,469,2.7
AMPLIACION VELEZ SARSFIELD,1625.0,449.0,14.0,3.12,0,0,0,0,10,4,49,0,0,0.276,7.394,0.0,0.0,0.0,0.0,6.15,0.0,0,0,0,1,0.1139,0.19,8552.63,2363.16,0.599,1.0,-31.4536351703001,-64.2155839465438,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>AMPLIACION VELEZ SARSFIELD</b><br>Pob: 1625.0<br>Score: 0.11 (Baja),0.33,0.7009,338,31.8
