barrio,centroide_lat,centroide_lon,cluster_barrio,dbscan_cluster
SANTA ISABEL ANEXO,-31.4762535311804,-64.246541585744,2,4
SANTA ISABEL SECCION 1,-31.4706991572602,-64.2324062857146,2,6
SANTA ISABEL SECCION 2,-31.4765694987008,-64.2314214735328,2,6
SANTA ISABEL SECCION 3,-31.4780759649089,-64.2417721699096,2,4
SANTA RITA,-31.4475111531909,-64.1726932933092,1,0
SARGENTO CABRAL,-31.3761553934638,-64.1930039660383,2,0
SARMIENTO,-31.4301438218054,-64.1542666069568,2,0
SEP,-31.4590458861221,-64.1656905708457,3,0
SEP SEGUNDA ETAPA,-31.459818195198,-64.163901564558,3,0
SMATA,-31.4544018167226,-64.2235302714597,2,0
SUAREZ,-31.4386525402631,-64.2104488002246,4,0
TABLADA PARK,-31.371014347978,-64.2262528800577,0,0
TALLERES ESTE,-31.3889614484158,-64.1506644470621,2,0
TALLERES OESTE,-31.3901962264128,-64.1589426196123,2,0
TALLERES SUD,-31.4395334252609,-64.1342425341031,4,0
TEJAS DEL SUR,-31.4623776512352,-64.1901622837599,0,0
TEJAS II,-31.4786597752331,-64.1992317699973,0,0
TENIENTE BENJAMIN MATIENZO,-31.4413948429374,-64.2375452199026,2,0
TEODORO FELDS,-31.400399552588,-64.249188644474,2,0
TRANVIARIOS,-31.4095065222609,-64.2281773518277,2,0
UOCRA,-31.3226062886296,-64.2653478417105,2,2
URCA,-31.3825291437329,-64.237176476034,2,0
URITORCO,-31.4007024648215,-64.2348551534556,0,0
URQUIZA,-31.438642250908,-64.1474823201876,2,0
VALLE DEL CERRO,-31.3714184962642,-64.2403575253101,0,0
VASQUEZ,-31.4814988423669,-64.1311415524934,0,-1
VICOR,-31.4779710996914,-64.2476088717772,1,4
VILLA 4 DE AGOSTO,-31.3709389448169,-64.1908220088431,4,0
VILLA 9 DE JULIO,-31.329018947509,-64.270839671136,4,2
VILLA ADELA,-31.4354459009998,-64.247507386986,2,0
VILLA ALBERDI,-31.3934888286527,-64.2358376189342,2,0
VILLA ALBERTO,-31.4161416393993,-64.2666051276845,4,0
VILLA ALICIA RISLER,-31.3114354632522,-64.1804311454914,4,-1
VILLA ALLENDE PARQUE,-31.3138838412422,-64.2821735904198,2,-1
VILLA ARGENTINA,-31.431052918483,-64.1354526357973,0,0
VILLA ASPACIA,-31.4430863044472,-64.2474522379448,2,0
VILLA AVALOS,-31.4159890689732,-64.2431944869072,4,0
VILLA AZALAIS,-31.3733605910932,-64.1519055061196,2,0
VILLA AZALAIS ANEXO,-31.3651524446768,-64.1617435194703,0,0
VILLA AZALAIS OESTE,-31.3679277643136,-64.1748905214047,1,0
VILLA BELGRANO,-31.3593223550694,-64.2502732108312,2,5
VILLA BUSTOS,-31.4380459286388,-64.1118196733192,4,0
VILLA CABRERA,-31.3873896225332,-64.2107766574213,2,0
VILLA CENTENARIO,-31.3655136474965,-64.2308900849635,2,0
VILLA CLARET,-31.346764951577,-64.238479952604,1,0
VILLA CLAUDINA,-31.3886748687489,-64.1225564917819,1,0
VILLA CORINA,-31.3753122407543,-64.1446975348582,2,0
VILLA CORNU,-31.31516378474725,-64.26416452459095,2,2
VILLA CORONEL OLMEDO,-31.4808392426478,-64.1415667955082,2,-1
VILLA EL LIBERTADOR,-31.4831663693664,-64.22405825134055,4,6
VILLA ESQUIU,-31.3581731705604,-64.106364790417,1,-1
VILLA EUCARISTICA,-31.4821048973798,-64.1788372981638,0,-1
VILLA GENERAL URQUIZA,-31.3909913330131,-64.2417974420032,4,0
VILLA GRAN PARQUE,-31.3271029528563,-64.1616106373206,0,-1
VILLA LA MERCED,-31.4082708450202,-64.0642238571163,4,-1
VILLA MAFEKIN,-31.4022481112785,-64.2569491260768,2,0
VILLA MARTA,-31.3608191633499,-64.2281814784385,0,0
VILLA MARTINEZ,-31.4160857927922,-64.2507310219899,4,0
VILLA PAEZ,-31.3959348360502,-64.2060005908958,2,0
VILLA QUISQUIZACATE,-31.3331577606987,-64.2818486053848,0,0
VILLA RETIRO,-31.336307674505548,-64.145948137302,1,-1
VILLA REVOL,-31.4435550254359,-64.1727065975052,2,0
VILLA REVOL ANEXO,-31.4370580300058,-64.1699676689109,4,0
VILLA RIVADAVIA,-31.5130596771592,-64.1945915895642,1,-1
VILLA RIVERA INDARTE,-31.3254407068763,-64.2939456332099,2,0
VILLA SAN CARLOS,-31.4620977600299,-64.1700416939278,1,0
VILLA SAN ISIDRO,-31.4575712536414,-64.1881087347359,0,0
VILLA SERRANA,-31.3301623505514,-64.2789046482414,4,-1
VILLA SIBURU,-31.3956863950044,-64.2305440533676,1,0
VILLA SILVANO FUNES,-31.3403524658703,-64.251239453436,1,2
VILLA SOLFERINO,-31.341833627199,-64.2755114664663,0,0
VILLA UNION,-31.4250447239479,-64.2651931533667,4,0
VILLA WARCALDE,-31.3436875418139,-64.2949561314855,1,0
VIVERO NORTE,-31.382311576231,-64.1446636862196,1,0
YAPEYU,-31.410369494566265,-64.14616987081894,3,3
YOFRE H,-31.38234254247095,-64.12556007490045,2,0
YOFRE I,-31.3900178275939,-64.12771732212764,3,0
YOFRE NORTE,-31.383963889503,-64.1340907794603,2,0
YOFRE SUD,-31.3922689658402,-64.1354610976761,2,0
ZEPA,-31.3894472257739,-64.1064392092923,1,-1
