barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
LA ESPERANZA,306,76,1,1.32,0,0,0,0,0,8,3,6,0,0
LA DOROTEA,526,122,16,13.11,0,3,3,0,0,3,1,0,0,0
LA CAROLINA,700,184,0,0.0,0,0,0,0,0,0,0,5,0,1
KENNEDY,0,326,8,2.45,0,3,3,0,0,2,1,119,0,0
KAIROS,826,182,23,12.64,0,2,0,2,1,7,1,18,0,2
JUNIORS,0,0,19,0.0,0,10,9,1,0,18,5,88,0,1
JUAN XXIII,977,308,2,0.65,0,0,0,0,0,15,5,70,0,1
JUAN B JUSTO,0,813,24,2.95,0,1,1,0,0,8,3,0,0,1
JOSE IGNACIO DIAZ SECCION 3,0,0,237,0.0,0,0,0,0,1,8,3,0,0,0
JOSE IGNACIO DIAZ SECCION 2,0,598,52,8.7,0,0,0,0,0,10,2,0,0,0
JOSE IGNACIO DIAZ SECCION 1,0,0,86,0.0,0,4,4,0,1,7,2,0,0,1
JOSE I RUCCI,126,40,0,0.0,0,0,0,0,0,8,3,0,0,1
JOSE HERNANDEZ,0,951,44,4.63,0,1,1,0,1,9,3,31,0,1
JOCKEY CLUB,258,73,0,0.0,0,1,1,0,0,2,3,96,0,1
JERONIMO LUIS DE CABRERA,0,464,24,5.17,0,2,2,0,0,16,5,10,0,2
JARDINES DEL JOCKEY,516,130,1,0.77,0,3,0,3,0,7,4,0,0,0
JARDIN HIPODROMO,0,322,14,4.35,0,0,0,0,0,2,1,27,0,2
JARDIN ESPINOSA,0,485,3,0.62,0,0,0,0,0,6,3,10,0,1
JARDIN DEL SUD,0,451,3,0.67,0,0,0,0,0,7,2,34,0,1
JARDIN DEL PILAR,0,633,37,5.85,0,2,2,0,0,12,3,98,0,1
JARDIN DEL CLARET,418,136,1,0.74,0,2,2,0,0,11,4,0,0,0
JARDIN,0,0,45,0.0,0,4,2,2,0,13,13,23,0,1
ITUZAINGO II,0,394,42,10.66,0,3,3,0,0,2,1,0,0,1
ITUZAINGO ANEXO,0,0,138,0.0,0,2,2,0,1,35,5,23,0,5
ITUZAINGO,0,933,18,1.93,0,2,0,2,0,16,4,19,0,0
IRUPE,523,159,10,6.29,0,3,3,0,0,6,6,45,0,1
IPV ANEXO LOS GIGANTES,0,707,18,2.55,0,4,4,0,0,11,2,0,0,1
IPONA,982,402,8,1.99,0,0,0,0,0,26,17,14,0,1
INDUSTRIAL OESTE,0,473,14,2.96,0,0,0,0,0,19,3,147,0,0
INDUSTRIAL ESTE,0,386,1,0.26,0,1,1,0,0,14,10,167,0,0
INDEPENDENCIA,813,294,7,2.38,0,6,3,3,0,16,9,38,0,0
INAUDI,0,459,4,0.87,0,3,3,0,1,7,1,52,0,1
HORIZONTE,0,641,11,1.72,0,0,0,0,0,10,6,188,0,0
HIPOLITO IRIGOYEN,0,893,83,9.29,0,0,0,0,1,6,4,23,0,1
GUINAZU SUD,164,41,3,7.32,0,7,7,0,1,12,2,0,0,1
GUINAZU,0,373,41,10.99,0,3,3,0,1,20,2,0,1,1
GUEMES,0,0,428,0.0,0,14,13,1,1,41,21,132,0,0
GUAYAQUIL,587,196,0,0.0,0,2,2,0,0,14,4,86,0,1
GUARNICION MILITAR CORDOBA,268,66,0,0.0,0,0,0,0,0,0,0,0,0,0
GUARNICION AEREA CORDOBA,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
GRANJA DE FUNES,0,0,27,0.0,0,4,1,3,0,30,11,50,0,1
GRANADERO PRINGLES,0,628,16,2.55,0,0,0,0,0,19,4,25,0,1
GENERAL SAVIO,0,0,313,0.0,0,0,0,0,0,9,1,70,1,1
GENERAL PUEYRREDON,0,0,561,0.0,0,19,6,13,0,48,12,202,0,1
GENERAL PAZ,0,0,107,0.0,0,18,10,8,0,32,13,230,1,1
