nombre,tipo,barrio,longitud,latitud
CS N° 22 -Alberdi Sud,Centro de Salud,ALBERDI,-64.213613,-31.412561
CS N° 23 - Rosedal Anexo,Centro de Salud,ROSEDAL ANEXO,-64.22351,-31.43749
CS N° 24 - Cupani,Centro de Salud,CUPANI,-64.207929,-31.423763
CS N° 25 - San MartÍn,Centro de Salud,SAN MARTIN,-64.196768,-31.394638
CS N° 26 - Santa Ana,Centro de Salud,QUINTA SANTA ANA,-64.232517,-31.414465
CS N° 27 - Pilar,Centro de Salud,JARDIN DEL PILAR,-64.156071,-31.443944
CS N° 28 - Las Violetas,Centro de Salud,LAS VIOLETAS,-64.250729,-31.410755
CS N° 29 - Villa Siburu,Centro de Salud,VILLA SIBURU,-64.227643,-31.39575
CS N° 30 - Villa Paez,Centro de Salud,VILLA PAEZ,-64.206803,-31.397133
CS N° 31 - La Salle,Centro de Salud,LA SALLE,-64.275016,-31.344291
CS N° 32 - Yapeyu,Centro de Salud,YAPEYU,-64.149583,-31.41276
CSN° 33 - Argüello,Centro de Salud,ARGUELLO,-64.266425,-31.327899
CS N° 34 - Villa 9 de Julio,Centro de Salud,VILLA 9 DE JULIO,-64.271704,-31.328768
CS N° 35 - Villa Revol,Centro de Salud,VILLA REVOL,-64.170448,-31.445921
CS N° 37 - José Ignacio Diaz,Centro de Salud,JOSE IGNACIO DIAZ SECCION 1,-64.140673,-31.442724
CS N° 38 - Urquiza,Centro de Salud,URQUIZA,-64.14785,-31.439245
CS N° 39 - Ferrer,Centro de Salud,FERRER,-64.210871,-31.445241
CS N° 40 - Las Flores,Centro de Salud,LAS FLORES,-64.202272,-31.451094
CS N° 41 - Villa El Libertador,Centro de Salud,VILLA EL LIBERTADOR,-64.214358,-31.469805
CS N° 42 - Comercial,Centro de Salud,COMERCIAL,-64.209587,-31.484598
CS N° 43 - Guemes,Centro de Salud,GUEMES,-64.194918,-31.42379
CS N° 44 - Bella Vista,Centro de Salud,BELLA VISTA,-64.208575,-31.434609
CS N° 45 - Cabo Farina,Centro de Salud,CABO FARINA,-64.205303,-31.463756
CS N° 46 - Santa Isabel,Centro de Salud,SANTA ISABEL SECCION 1,-64.229615,-31.479408
CS N° 47 - Coronel Olmedo,Centro de Salud,VILLA CORONEL OLMEDO,-64.143159,-31.478775
