barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,densidad_hogares,escuelas_por_1000_hab,centros_salud_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_centro_salud,tiene_comisaria,tiene_transporte,infraestructura_score
COOPERATIVA LA UNIDAD,2120.0,508.0,32.0,6.3,0,0,0,0,0,8,3,0,0,1,0.24,0.24,0.0,0.0,0.0,3.77,4.72,0,0,0,1,0.0698
CORDOBA IV,500.0,200.0,0.0,0.0,0,2,0,2,0,4,1,0,0,0,0.4,0.4,4.0,0.0,0.0,8.0,0.0,1,0,0,1,0.4257
CORDOBA V,500.0,200.0,1.0,0.5,0,0,0,0,0,2,2,0,0,0,0.4,0.4,0.0,0.0,0.0,4.0,0.0,0,0,0,1,0.0741
CORRAL DE PALOS,1244.0,342.0,23.0,6.73,0,0,0,0,0,7,2,0,0,1,0.275,0.275,0.0,0.0,0.0,5.63,8.04,0,0,0,1,0.1043
COSTA VERDE,500.0,200.0,0.0,0.0,0,0,0,0,1,6,2,0,0,0,0.4,0.4,0.0,6.656999999999986,0.0,12.0,0.0,0,1,0,1,0.4444
COUNTRY ALTOS DEL CHATEAU,1120.0,252.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0.225,0.225,0.89,0.0,0.0,0.0,0.0,1,0,0,0,0.0618
COUNTRY BARRANCAS,500.0,200.0,0.0,0.0,0,0,0,0,0,6,1,0,0,0,0.4,0.4,0.0,0.0,0.0,12.0,0.0,0,0,0,1,0.2222
COUNTRY CLUB,500.0,200.0,0.0,0.0,0,0,0,0,0,6,2,0,0,0,0.4,0.4,0.0,0.0,0.0,12.0,0.0,0,0,0,1,0.2222
COUNTRY FORTIN DEL POZO,500.0,200.0,6.0,3.0,0,0,0,0,0,1,2,0,0,0,0.4,0.4,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0.037
COUNTRY JOCKEY CLUB,1555.0,379.0,7.0,1.85,0,0,0,0,0,0,0,0,0,0,0.244,0.244,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
