stop_id,stop_name,stop_lat,stop_lon,barrio_asignado
C5511,Avenida Armada Argentina 601,-31.458041,-64.208704,CABO FARINA
C5399,Juan Larrea 1519,-31.415763104202394,-64.16261851787569,YAPEYU
C5381,Río de la Plata 735,-31.41905,-64.128796,MALDONADO
C5370,Callao 840,-31.419833,-64.120637,RENACIMIENTO
C5358,Mariano Boedo 1550,-31.426905,-64.117064,COLONIA LOLA
C5348,Argandoña 4987,-31.421829,-64.122332,RENACIMIENTO
C5341,Pasaje Sáenz Peña 4152,-31.418647,-64.131784,MALDONADO
C5329,Carlos Pellegrini 1031,-31.419718,-64.156358,YAPEYU
C5321,Rosario de Santa Fe 754,-31.417621767666223,-64.17180776596071,YAPEYU
C4700,Concejal Felipe Belardinelli 3306,-31.449589,-64.194553,LAS FLORES
C5270,Avenida Duarte Quirós 1937,-31.4114,-64.210496,ALBERDI
C5245,Avenida Duarte Quirós 4311,-31.402463,-64.238241,VILLA SIBURU
C5249,Avenida Río Bamba 388,-31.398813690858454,-64.25734877586366,LOS ROBLES
C5229,Avenida Carlos Federico Gauss 5073,-31.363119,-64.253556,COLINAS DEL CERRO
C5419,Roberto Boyle 5642,-31.377346,-64.254956,COLINAS DEL CERRO
C5207,Chancay 216,-31.390883,-64.253304,COLINAS DEL CERRO
C5192,Avenida Duarte Quirós 4466,-31.401314,-64.239979,VILLA SIBURU
C5184C,Avenida Duarte Quirós 2660,-31.408502,-64.218795,ALBERDI
C4622,Concejal Felipe Belardinelli 3109,-31.447035,-64.194092,LAS FLORES
C5098,Avenida Mahatma Ghandi 860,-31.379361,-64.269376,PARQUE DON BOSCO
C5062,Avenida Colón 6066,-31.394212,-64.260208,LOS ROBLES
C5051,Avenida Colón 3870,-31.398969,-64.230983,VILLA SIBURU
C9057,Monseñor Miguel de Andrea 1211,-31.393351,-64.212851,VILLA PAEZ
C9041,José Barros Pazos 3395,-31.38672,-64.227716,VILLA SIBURU
C9033,Avenida Menéndez Pidal 3761,-31.384004,-64.235108,VILLA SIBURU
C6256,Bedoya 686,-31.397976,-64.186506,SAN MARTIN
C6223,América Central 2200,-31.475936,-64.242715,PARQUE FUTURA
C5524,Pedro Antonio Inchauspe 88,-31.449561,-64.198142,LAS FLORES
C6280,Avenida Armada Argentina 2379,-31.476929,-64.235778,SANTA ISABEL SECCION 1
C6165,Nevada 1614,-31.465248,-64.227458,CONGRESO
C6117,Independencia 1174,-31.429303951800517,-64.1898536682129,GUEMES
C6037,Margarita Puch de Güemes 402,-31.339320028780527,-64.17989730834962,REMEDIOS DE ESCALADA
C6017,Avenida Juan B. Justo RUTA 9,-31.313287,-64.17604,GUINAZU
C6184,De Los Valsecitos 577,-31.31117,-64.179404,GUINAZU
C6164,Avenida Juan B. Justo 7970,-31.327026,-64.175649,REMEDIOS DE ESCALADA
C6110,Mariano Fragueíro 3762,-31.370228,-64.183803,HIPOLITO IRIGOYEN
C6080,General Bustos 982,-31.400091,-64.19172,SAN MARTIN
C7326,Coronel Manuel Namuncurá 5774,-31.415443,-64.261233,PARQUE REPUBLICA
C7317,Avenida Santa Ana 2794,-31.414229,-64.221987,ALBERDI
p15_ida_a1,Juan del Campillo 432,-31.40009576322613,-64.18375968933107,SAN MARTIN
C 702,De Los Santos 779,-31.36474078348424,-64.18509006500246,HIPOLITO IRIGOYEN
p20_vuelta_a1,Belgrano 551,-31.421491,-64.190468,GUEMES
C9334,Humberto Primo S/N,-31.386623971163463,-64.25635099411012,COLINAS DEL CERRO
C5701,Martín Cartechini 120,-31.412105,-64.130078,MALDONADO
C5693,Obispo Castellano 245,-31.412723,-64.138774,MALDONADO
C5680,José Figueroa 11,-31.394042,-64.250284,LOS ROBLES
C9302,Juncalillo 749,-31.386514,-64.248734,COLINAS DEL CERRO
C9181,La Tablada 6089,-31.385442,-64.255825,COLINAS DEL CERRO
C5596,Domingo Zípoli 624,-31.396662,-64.223204,VILLA SIBURU
C5585,Doctor Silvestre Remonda 586,-31.401808,-64.208618,VILLA PAEZ
C5496,Rafael Bielsa 3698,-31.453236,-64.198946,LAS FLORES
C5466,Corrientes 2215,-31.425953,-64.155634,YAPEYU
C5454,Leonardo Rosales 3800,-31.429707,-64.136113,ACOSTA
C5443,Fiambala 4899,-31.438852,-64.123335,EMPALME
C5548,Tinogasta 5543,-31.437222,-64.114628,VILLA BUSTOS
C5535,Agustín Garzón 4293,-31.426873,-64.130362,ACOSTA
C5522,Doctor Oscar Cocca 29,-31.452188,-64.200845,LAS FLORES
C5516,Viña del Mar 4006,-31.456672647301986,-64.20339345932008,LAS FLORES
C5383,Pasaje Sáenz Peña 4056,-31.418615,-64.132884,MALDONADO
C5371,Callao 682,-31.418313,-64.120674,RENACIMIENTO
C5409,Bulevar Juan Piñero 270,-31.405521,-64.227254,VILLA SIBURU
C5350,Mario Bravo 702,-31.418652,-64.121929,RENACIMIENTO
C5339,Martín Cartechini 947,-31.420826,-64.133436,MALDONADO
C5326,Juan Larrea 1730,-31.416326,-64.160081,YAPEYU
C5318,Bulevar Juan Piñero 47,-31.403429,-64.226133,VILLA SIBURU
C5265,Avenida Duarte Quirós 2917,-31.407765,-64.221826,ALBERDI
C5255,Avenida Don Bosco 4741,-31.404606,-64.246003,LAS VIOLETAS
C5237,Hornero 576,-31.383986167666432,-64.25989151000978,COLINAS DEL CERRO
C5224,Blas Pascal 5854,-31.35442488110421,-64.25212383270265,LA SALLE
C5213,La Rioja 6519,-31.386166,-64.260734,PARQUE DON BOSCO
C5201,Avenida Don Bosco 5480,-31.399679,-64.255975,LOS ROBLES
C5188,Avenida Duarte Quirós 3580,-31.405659,-64.228767,QUINTA SANTA ANA
C5178,Avenida Duarte Quirós 1462,-31.413025,-64.20467,ALBERDI
C5581,República Popular China S/N,-31.369317,-64.276559,PARQUE DON BOSCO
C5069,Avenida Ardizone 7000,-31.388085,-64.273383,PARQUE DON BOSCO
C5055,Avenida Colón 4766,-31.395879,-64.241411,VILLA SIBURU
C6046,Maestro Marcelo López 3451,-31.441836,-64.19356,LAS FLORES
C6090,José Baigorri 850,-31.391771,-64.186329,SAN MARTIN
C9039,José Barros Pazos 3465,-31.386203,-64.229014,VILLA SIBURU
C9030,De Las Leyes Agrarias 3987,-31.464643763683192,-64.14542555809022,RAMON J CARCANO
C9014,Avenida El Quebracho 3811,-31.47704752096748,-64.14764106273653,VILLA CORONEL OLMEDO
C6247,Avenida Armada Argentina S/N,-31.48620172967908,-64.24357295036317,PARQUE FUTURA
C6210,Guadalupe 2899,-31.481188,-64.249109,PARQUE FUTURA
C6312,Tucumán 633,-31.40853,-64.185551,URQUIZA
C6274,Avenida Armada Argentina 3043,-31.48239930776502,-64.24229890108109,PARQUE FUTURA
C6133,Avenida Naciones Unidas 452,-31.442152,-64.202074,LAS FLORES
C6107,La Tablada 201,-31.40846600619205,-64.18394643813372,URQUIZA
C6033,Margarita Weild de Paz 402,-31.33650220374899,-64.17984366416933,REMEDIOS DE ESCALADA
C6011,Del Chamamé 9860,-31.309575,-64.177548,GUINAZU
C6180,Del Chamamé 9656,-31.311005,-64.17803,GUINAZU
C6158,Avenida Japón 75,-31.336301,-64.176915,REMEDIOS DE ESCALADA
C6088,Rodriguez Peña 1954,-31.391739,-64.1884,SAN MARTIN
C6078,General Bustos 684,-31.40124,-64.187869,SAN MARTIN
C6044,Belgrano 2710,-31.442669,-64.199424,LAS FLORES
C7240,Leubuco 5400,-31.414408,-64.256828,PARQUE REPUBLICA
C7316,Avenida Santa Ana 2582,-31.414825,-64.218961,ALBERDI
C721,Avenida Vélez Sarsfield 886,-31.425591,-64.191158,GUEMES
p14_vuelta_a,Urquiza 2088,-31.391181,-64.185251,SAN MARTIN
p18_vuelta_a1,Belgrano 874,-31.42501943256983,-64.1925358772278,GUEMES
