X,Y,Name,NOMBRE_BAR,SUP_HA_MOD,COD_BA_14,Poblacion,Hombres,Mujeres,%Poblacion,Hogares,NBI(hogares)
-64.258582064065,-31.4161294813208,325-PARQUE REPUBLICA,PARQUE REPUBLICA,98.42,"325","7,412","3,660","3,752",0.56%,"1,861","201"
-64.1399659927481,-31.3886256093823,324-PARQUE MONTECRISTO,PARQUE MONTECRISTO,19.43,"324","1,554","731","823",0.12%,"466","6"
-64.2510241394099,-31.3647142739498,323-PARQUE MODELO,PARQUE MODELO,10.78,"323","259","118","141",0.02%,"82","0"
-64.2008967897547,-31.4561025121088,322-PARQUE LOS MOLINOS,PARQUE LOS MOLINOS,15.99,"322","864","415","449",0.06%,"264","6"
-64.1513432642662,-31.3552182265341,321-PARQUE LICEO SECCION 3,PARQUE LICEO SECCION 3,85.56,"321","5,593","2,869","2,724",0.42%,"1,426","164"
-64.1620118927709,-31.3556278869882,320-PARQUE LICEO SECCION 2,PARQUE LICEO SECCION 2,96,"320","7,826","3,771","4,055",0.59%,"2,013","157"
-64.1625303442315,-31.3497061993402,319-PARQUE LICEO SECCION 1,PARQUE LICEO SECCION 1,255.01,"319","3,693","1,801","1,892",0.28%,"1,108","58"
-64.2124548233494,-31.4596532315616,318-PARQUE LATINO,PARQUE LATINO,31.64,"318","1,306","641","665",0.10%,"432","4"
-64.180513219248,-31.350399915226,317-PARQUE JORGE NEWBERY,PARQUE JORGE NEWBERY,46.98,"317","2,909","1,369","1,540",0.22%,"913","16"
-64.2529899700877,-31.488906450635,316-PARQUE FUTURA,PARQUE FUTURA,112.92,"316","2,851","1,402","1,449",0.21%,"703","68"
-64.272025814382,-31.3884319827078,315-PARQUE DON BOSCO,PARQUE DON BOSCO,66.62,"315","4,691","2,222","2,469",0.35%,"1,385","24"
-64.1455089911964,-31.4051586405003,314-PARQUE DEL ESTE,PARQUE DEL ESTE,80.04,"314","679","334","345",0.05%,"180","24"
-64.2261000948677,-31.4442273592752,0-PARQUE DE LA VIDA,PARQUE DE LA VIDA,0,"0",,,,,,
-64.2671597598804,-31.4035479069876,313-PARQUE DE LA VEGA III,PARQUE DE LA VEGA III,22.11,"313","596","287","309",0.04%,"180","1"
-64.2612520517313,-31.4086410569058,312-PARQUE DE LA VEGA II,PARQUE DE LA VEGA II,25.41,"312","596","284","312",0.04%,"155","22"
-64.228319679797,-31.367945597451,311-PARQUE COREMA,PARQUE COREMA,14.06,"311","584","273","311",0.04%,"220","1"
-64.2627749398238,-31.3701408593402,310-PARQUE CHATEAU CARRERAS,PARQUE CHATEAU CARRERAS,265.81,"310","28","15","13",0.00%,"7","1"
-64.2667138897012,-31.3550987341632,310-PARQUE CHATEAU CARRERAS,PARQUE CHATEAU CARRERAS,265.81,"310","28","15","13",0.00%,"7","1"
-64.2116422926307,-31.382522710674,309-PARQUE CHACABUCO,PARQUE CHACABUCO,28.34,"309","1,164","562","602",0.09%,"388","1"
-64.2171490791533,-31.4426782072545,308-PARQUE CAPITAL SUD,PARQUE CAPITAL SUD,28.23,"308","1,443","688","755",0.11%,"442","2"
-64.2159341822764,-31.4351614511823,307-PARQUE CAPITAL,PARQUE CAPITAL,71.95,"307","3,972","1,901","2,071",0.30%,"1,272","6"
-64.2100439245679,-31.4538400218945,306-PARQUE ATLANTICA,PARQUE ATLANTICA,33.22,"306","2,249","1,036","1,213",0.17%,"734","17"
-64.1842467716332,-31.4667304669222,305-PARQUE ALAMEDA,PARQUE ALAMEDA,22.73,"305","656","320","336",0.05%,"195","3"
-64.1799531562142,-31.3728037015138,304-PANAMERICANO,PANAMERICANO,56.91,"304","3,346","1,542","1,804",0.25%,"1,072","26"
